FIPS,COUNTY,FIPS3,FIPS2
1001,Autauga County,'01001',01001
1003,Baldwin County,'01003',1003
1005,Barbour County,'01005',1005
1007,Bibb County,'01007',1007
1009,Blount County,'01009',1009
1011,Bullock County,'01011',1011
1013,Butler County,'01013',1013
1015,Calhoun County,'01015',1015
1017,Chambers County,'01017',1017
1019,Cherokee County,'01019',1019
1021,Chilton County,'01021',1021
1023,Choctaw County,'01023',1023
1025,Clarke County,'01025',1025
1027,Clay County,'01027',1027
1029,Cleburne County,'01029',1029
1031,Coffee County,'01031',1031
1033,Colbert County,'01033',1033
1035,Conecuh County,'01035',1035
1037,Coosa County,'01037',1037
1039,Covington County,'01039',1039
1041,Crenshaw County,'01041',1041
1043,Cullman County,'01043',1043
1045,Dale County,'01045',1045
1047,Dallas County,'01047',1047
1049,DeKalb County,'01049',1049
1051,Elmore County,'01051',1051
1053,Escambia County,'01053',1053
1055,Etowah County,'01055',1055
1057,Fayette County,'01057',1057
1059,Franklin County,'01059',1059
1061,Geneva County,'01061',1061
1063,Greene County,'01063',1063
1065,Hale County,'01065',1065
1067,Henry County,'01067',1067
1069,Houston County,'01069',1069
1071,Jackson County,'01071',1071
1073,Jefferson County,'01073',1073
1075,Lamar County,'01075',1075
1077,Lauderdale County,'01077',1077
1079,Lawrence County,'01079',1079
1081,Lee County,'01081',1081
1083,Limestone County,'01083',1083
1085,Lowndes County,'01085',1085
1087,Macon County,'01087',1087
1089,Madison County,'01089',1089
1091,Marengo County,'01091',1091
1093,Marion County,'01093',1093
1095,Marshall County,'01095',1095
1097,Mobile County,'01097',1097
1099,Monroe County,'01099',1099
1101,Montgomery County,'01101',1101
1103,Morgan County,'01103',1103
1105,Perry County,'01105',1105
1107,Pickens County,'01107',1107
1109,Pike County,'01109',1109
1111,Randolph County,'01111',1111
1113,Russell County,'01113',1113
1115,St. Clair County,'01115',1115
1117,Shelby County,'01117',1117
1119,Sumter County,'01119',1119
1121,Talladega County,'01121',1121
1123,Tallapoosa County,'01123',1123
1125,Tuscaloosa County,'01125',1125
1127,Walker County,'01127',1127
1129,Washington County,'01129',1129
